;Identifier (example: #cshid=SCL_SignUp),Ignore (No-one uses this),Topic Current Location  (for docteam only),Targets (for docteam only),Path (dont use commas or semi-colons) 
SCL_Dashboard,5001,/Content/SecureCloud/Dashboard.htm,SCL,Main Menu > Dashboard
,,,,
SCL_K8sContainerVulnerabilities-by-Cluster,5002,/Content/SecureCloud/K8sContainerVulnerabilities-by-Cluster.htm,SCL,Main Menu > Dashboard > Container Vulnerabilities widget
SCL_K8sContainerVulnerabilities-by-Namespace,5003,/Content/SecureCloud/K8sContainerVulnerabilities-by-Namespace.htm,SCL,Main Menu > Dashboard > Container Vulnerabilities widget > select cluster
SCL_K8sContainerVulnerabilities-by-Pod,5004,/Content/SecureCloud/K8sContainerVulnerabilities-by-Pod.htm,SCL,Main Menu > Dashboard > Container Vulnerabilities widget > select cluster > select namespace
SCL_K8sPermissivePolicies-by-Cluster,5005,/Content/SecureCloud/K8sPermissivePolicies-by-Cluster.htm,SCL,Main Menu > Dashboard > Permissive Policies widget 
SCL_K8sPermissivePolicies-by-Namespace,5006,/Content/SecureCloud/K8sPermissivePolicies-by-Namespace.htm,SCL,Main Menu > Dashboard > Permissive Policies widget > select cluster
SCL_K8sPermissive-Policies-in-Namespace,5007,/Content/SecureCloud/K8sPermissive-Policies-in-Namespace.htm,SCL,Main Menu > Dashboard > Permissive Policies widget > select cluster > select namespace
SCL_K8sPrivilegedWorkloads-by-Cluster,5008,/Content/SecureCloud/K8sPrivilegedWorkloads-by-Cluster.htm,SCL,Main Menu > Dashboard > Privileged Workloads widget
SCL_K8sPrivilegedWorkloads-by-Namespace,5009,/Content/SecureCloud/K8sPrivilegedWorkloads-by-Namespace.htm,SCL,Main Menu > Dashboard > Privileged Workloads widget > select cluster
SCL_K8sPrivilegedWorkloads-by-Pod,5010,/Content/SecureCloud/K8sPrivilegedWorkloads-by-Pod.htm,SCL,Main Menu > Dashboard > Privileged Workloads widget > select cluster > select namespace
SCL_K8sVulnerabilities-by-Cluster,5011,/Content/SecureCloud/K8sVulnerabilities-by-Cluster.htm,SCL,Main Menu > Dashboard > Kubernetes Vulnerabilities widget
SCL_K8sVulnerabilities-in-Cluster,5012,/Content/SecureCloud/K8sVulnerabilities-in-Cluster.htm,SCL,Main Menu > Dashboard > Kubernetes Vulnerabilities widget > select cluster
;,5013,,,
SCL_CloudPermissiveAccess-by-App,5014,/Content/SecureCloud/CloudPermissiveAccess-by-App.htm,SCL,Main Menu > Dashboard > Permissive Access widget
SCL_CloudPermissiveAccess-by-Asset,5015,/Content/SecureCloud/CloudPermissiveAccess-by-Asset.htm,SCL,Main Menu > Dashboard > Permissive Access widget > select application
SCL_CloudPolicyViolations-by-App,5016,/Content/SecureCloud/CloudPolicyViolations-by-App.htm,SCL,Main Menu > Dashboard > Policy Violations widget
SCL_CloudPolicyViolations-by-Asset,5017,/Content/SecureCloud/CloudPolicyViolations-by-Asset.htm,SCL,Main Menu > Dashboard > Policy Violations widget > select application
